"id","name","lat","lon"
312,"Samal, Siasi Dialect",5.53945,120.84961
313,"Sasak",-8.66791800236312,116.279296875
314,"Singhi",1.31824,110.34668
315,"Sumbawa",-8.71919,117.47199
316,"Taloki",-4.6478,122.872
317,"Ternate (Pasar-Lingua franca)",-0.86437,128.32323
318,"Timugon (Murut)",5,116
319,"Tolaki",-4.03577,121.88825
320,"Tolaki (Asera)",-4.0358,121.888
321,"Tolaki (Konawe)",-4.0358,121.888
322,"Tolaki (Laiwui)",-4.0358,121.888
323,"Tolaki (Mekongga)",-4.0358,121.888
324,"Tolaki (Wiwirano)",-4.0358,121.888
325,"Tomadino",-2.5649,121.944
326,"Tomini (Tialo)",0.42569,120.89031
327,"Totoli",1.14995,120.87458
328,"Tunjung",-1.20840649727186,116.03759765625
329,"Uma (Kantewu dialect)",-1.7042,119.968
330,"Urak Lawoi'",8,98.333333
331,"Waru",-3.412,122.058
332,"Waru (Lalomerui)",-3.412,122.058
333,"Wawonii",-4.1359,123.1
334,"Wawonii (Menui)",-4.1359,123.1
335,"Wiau",-3.2463,121.059
336,"Wolio",-5.76494403414826,123.898927157444
337,"Wuna",-5,122.5
338,"Yakan",6.54455998565332,122.05810546875
339,"Alune",-3.10042061270418,128.174456135632
340,"Amahai",-3.32028,128.93888
341,"Anakalang",-9.71988586246517,119.674072265625
342,"Aputai",-7.86338180530917,126.5185546875
343,"Atoni",-9.88228,124.05762
344,"Batuley",-5.8144,134.7843
345,"Bima",-8.53756535080402,118.5205078125
346,"Bobot",-3.49871005693759,130.624210207743
347,"Bonfia",-3.11858,130.51758
348,"Buru [Namrole Bay]",-3.5,126.5
349,"Central Masela",-8.4998402862252,130.117203993592
350,"Dadu'a",-8.6107,125.959
351,"Dai",-7.89260840513193,129.960107506771
352,"Dawera-Daweloor",-7.89260840513193,129.960107506771
353,"Dobel (Koijabi dialect)",-6.3253,134.638
354,"East Damar",-8.07258086134465,128.463215743173
355,"East Masela",-8.1595,129.8505
356,"East Sumbanese Kambera, Southern dialect",-10.0734060631886,120.702381123445
357,"East Sumbanese, Lewa dialect",-10.0734060631886,120.702381123445
358,"East Sumbanese, Umbu Ratu Nggai dialect",-10.0734060631886,120.702381123445
359,"Elat, Kei Besar",-5.64059,133.01697
360,"Emplawas",-8.28444635517256,129.917695058198
361,"Ende",-8.833333,121.65
362,"Erai",-7.78787,126.31256
363,"Fatakai (Nuaulu)",-3.2341,129.148
364,"Fordata",-7.289,131.511
365,"Galolen (Talur)",-7.88514728342433,126.45263671875
366,"Gaura Nggaura",-10,119
367,"Geser",-3.49871005693759,130.624210207743
368,"Hewa",-8.597711,122.708209
369,"Hitu (Ambon)",-3.63834191649498,128.268702434322
370,"Iliun",-7.8416151852047,125.92529296875
371,"Imroing",-8.28444635517256,129.917695058198
372,"Kambera",-9.99049080307028,120.38818359375
373,"Kédang",-8.24411005754921,123.7939453125
374,"Kei (Tanimbar-Kei)",-5.98610653670308,132.469197528538
375,"Kemak",-8.98546,125.22766
376,"Kisar",-8.02659484248955,127.188720703125
377,"Kodi",-9.55741735684131,118.970947265625
378,"Koiwai (Irian Jaya)",-3.66693,133.7915
379,"Kola",-5.4883,134.592
380,"Lamaholot Ile Mandiri (Flores Timur)",-8.35825787130869,122.821655273438
381,"Lamalera (lembata)",-8.53225,123.4422
382,"Lamboya",-9.72530012795391,119.371948242188
383,"Letinese",-8.2,127.67
384,"Lio, Flores Tongah",-8.67606354930773,121.835632324219
385,"Luang",-8.47753873121983,128.63972166572
386,"Mambai",-8.57966283377484,125.619226658682
387,"Mamboru",-9.40571004160002,119.6630859375
388,"Manggarai",-8.53756535080402,120.5859375
389,"Masiwang",-3.49871005693759,130.624210207743
390,"Murnaten (Alune)",-3.0555,128.39172
391,"Nage",-8.70513,121.30956
392,"Naueti",-8.7073,126.741
393,"Ngadha",-8.87421700905355,121.014404296875
394,"Ngaibor (S.Aru)",2.30925,128.15277
395,"Nila",-6.74644,129.50134
396,"North Babar",-8.07258086134465,128.463215743173
397,"Palu'e (Nitung)",-8.32877,121.71811
398,"Paulohi",-3.25,128.75
399,"Perai",-7.73757892412019,126.447261797582
400,"Pulau (Arguni)",-2.66787,132.54182
401,"Roma",-7.56399200553307,127.41943359375
402,"Roti (Termanu Dialect)",-10.779348472547,123.173217773438
403,"Savu",-10.6198362605868,121.880877159067
404,"Savu (1773)",-10.6198362605868,121.880877159067
405,"Sekar",-2.98693,132.84668
406,"Selaru",-7.75345127326905,131.283317612191
407,"Serili",-8.28444635517256,129.917695058198
408,"Serua",-6.3153,130.01495
409,"Sika",-8.66791800236312,122.3876953125
410,"So'a",-8.67877869236305,121.206665039062
411,"Soboyo",-1.8234225,124.62890625
412,"Sou Amana Teru",-3.57785,128.31046
413,"South-East Babar",-8.07258086134465,128.463215743173
414,"Tarangan Barat (Feruni)",-6.5,134.166667
415,"Tela-Masbuar",-8.28444635517256,129.917695058198
416,"Tetun Fehan",-9.1122,125.528
417,"Tetun Terik (Fehan dialect)",-9,126
418,"Teun",-6.97687,129.14154
419,"Tokodede",-8.6788,125.283
420,"Tugun",-7.71099165543322,126.771240234375
421,"Ujir (N.Aru)",2.39432,128.15826
422,"Ujir (Schapper)",-5.6933,134.257
423,"Waima'a",-8.5342,126.317
424,"Wanukaka",-9.73071430575694,119.443359375
425,"Watubela",-4.59833,131.69861
426,"Werinama",-3.32699,129.95178
427,"West Damar",-8.07258086134465,128.463215743173
428,"Wetan",-8.1838,127.944
429,"Wewewa (Tana Righu dialect)",-9.57908433588252,119.234619140625
430,"Yamdena",-7.75345127326905,131.283317612191
431,"Ambai (Yapen)",-1.83,136.5
432,"As",-0.79099,131.69312
433,"Biga (Misool)",-1.86735,130.12207
434,"Buli",0.792831872729578,128.342370876875
435,"East Makian",0.0734,127.423
436,"Gimán",-0.14316066226984,128.487258649535
437,"Irarutu",-2.9444,133.586
438,"Kasira (Irahutu)",-2.71661564894275,133.617494709733
439,"Minyaifuin (Gebe)",-0.06042,129.39697
440,"Moor",-2.8706,135.95
441,"Mor",-3,135.75
442,"Numfor",-1.263843131735,134.757810767095
443,"Roon",-2.4301,134.556
444,"Taba",0.0734,127.423
445,"Waropen",-2.33,136.58
446,"Windesi Wandamen",-2.22341053473621,134.265241471163
447,"'Auhelawa",-10.0959,151.002
448,"'Auhelawa",-10.2824913015242,151.01806640625
449,"'Oyaoya",-10.5392,150.658
450,"Anuki",-9.6692,149.822
451,"Buhutu",-10.5074,150.18
452,"Bunama",-10.0761,151.066
453,"Bwaidoga",-9.5116,150.297
454,"Bwaidoga",-9.47073567413093,150.303955078125
455,"Dawawa",-10.1692,149.999
456,"Diodio",-9.39487,150.16113
